id,name,developer_id,stage
101,Ambrosia Heights Andheri West,101,Under Construction
102,Eden Crest Bandra East,101,Pre-Launch
103,Marina Arena Borivali,101,Ready to Move In
104,Cedar Enclave Chembur,101,Under Construction
105,Orchid Residences Dadar,101,Pre-Launch
106,Palm County Ghatkopar,106,Ready to Move In
107,Aurum Nest Kandivali,107,Under Construction
108,Harbor Habitat Lower Parel,108,Pre-Launch
109,Nova Gateway Mulund,109,Ready to Move In
110,Iris Plaza Powai,110,Under Construction
111,Saffron Park Thane West,111,Pre-Launch
112,Emerald Gardens Vikhroli,112,Ready to Move In
113,Zenith Grove Worli,113,Under Construction
114,Willow Bay Mahalaxmi,114,Pre-Launch
115,Crescent One Juhu,115,Ready to Move In
116,Maple Vista Malad,116,Under Construction
117,Pearl Towers Goregaon,117,Pre-Launch
118,Solace Estate Kurla,118,Ready to Move In
119,Amber Square BKC,119,Under Construction
120,Prism Walk Wadala,120,Pre-Launch
121,Ambrosia Heights Panvel,121,Ready to Move In
122,Eden Crest Kharghar,122,Under Construction
123,Marina Arena Airoli,123,Pre-Launch
124,Cedar Enclave Nerul,124,Ready to Move In
125,Orchid Residences Seawoods,125,Under Construction
126,Palm County Andheri West,126,Pre-Launch
127,Aurum Nest Bandra East,127,Ready to Move In
128,Harbor Habitat Borivali,128,Under Construction
129,Nova Gateway Chembur,129,Pre-Launch
130,Iris Plaza Dadar,130,Ready to Move In
131,Saffron Park Ghatkopar,131,Under Construction
132,Emerald Gardens Kandivali,132,Pre-Launch
133,Zenith Grove Lower Parel,133,Ready to Move In
134,Willow Bay Mulund,134,Under Construction
135,Crescent One Powai,135,Pre-Launch
136,Maple Vista Thane West,136,Ready to Move In
137,Pearl Towers Vikhroli,137,Under Construction
138,Solace Estate Worli,138,Pre-Launch
139,Amber Square Mahalaxmi,139,Ready to Move In
140,Prism Walk Juhu,140,Under Construction
141,Ambrosia Heights Malad,141,Pre-Launch
142,Eden Crest Goregaon,142,Ready to Move In
143,Marina Arena Kurla,143,Under Construction
144,Cedar Enclave BKC,144,Pre-Launch
145,Orchid Residences Wadala,145,Ready to Move In
146,Palm County Panvel,146,Under Construction
147,Aurum Nest Kharghar,147,Pre-Launch
148,Harbor Habitat Airoli,148,Ready to Move In
149,Nova Gateway Nerul,149,Under Construction
150,Iris Plaza Seawoods,150,Pre-Launch
151,Saffron Park Andheri West,151,Ready to Move In
152,Emerald Gardens Bandra East,152,Under Construction
153,Zenith Grove Borivali,153,Pre-Launch
154,Willow Bay Chembur,154,Ready to Move In
155,Crescent One Dadar,155,Under Construction
156,Maple Vista Ghatkopar,156,Pre-Launch
157,Pearl Towers Kandivali,157,Ready to Move In
158,Solace Estate Lower Parel,158,Under Construction
159,Amber Square Mulund,159,Pre-Launch
160,Prism Walk Powai,160,Ready to Move In
161,Ambrosia Heights Thane West,161,Under Construction
162,Eden Crest Vikhroli,162,Pre-Launch
163,Marina Arena Worli,163,Ready to Move In
164,Cedar Enclave Mahalaxmi,164,Under Construction
165,Orchid Residences Juhu,165,Pre-Launch
166,Palm County Malad,166,Ready to Move In
167,Aurum Nest Goregaon,167,Under Construction
168,Harbor Habitat Kurla,168,Pre-Launch
169,Nova Gateway BKC,169,Ready to Move In
170,Iris Plaza Wadala,170,Under Construction
171,Saffron Park Panvel,171,Pre-Launch
172,Emerald Gardens Kharghar,172,Ready to Move In
173,Zenith Grove Airoli,173,Under Construction
174,Willow Bay Nerul,174,Pre-Launch
175,Crescent One Seawoods,175,Ready to Move In
176,Maple Vista Andheri West,176,Under Construction
177,Pearl Towers Bandra East,177,Pre-Launch
178,Solace Estate Borivali,178,Ready to Move In
179,Amber Square Chembur,179,Under Construction
180,Prism Walk Dadar,180,Pre-Launch
181,Ambrosia Heights Ghatkopar,181,Ready to Move In
182,Eden Crest Kandivali,182,Under Construction
183,Marina Arena Lower Parel,183,Pre-Launch
184,Cedar Enclave Mulund,184,Ready to Move In
185,Orchid Residences Powai,185,Under Construction
186,Palm County Thane West,186,Pre-Launch
187,Aurum Nest Vikhroli,187,Ready to Move In
188,Harbor Habitat Worli,188,Under Construction
189,Nova Gateway Mahalaxmi,189,Pre-Launch
190,Iris Plaza Juhu,190,Ready to Move In
191,Saffron Park Malad,191,Under Construction
192,Emerald Gardens Goregaon,192,Pre-Launch
193,Zenith Grove Kurla,193,Ready to Move In
194,Willow Bay BKC,194,Under Construction
195,Crescent One Wadala,195,Pre-Launch
196,Maple Vista Panvel,196,Ready to Move In
197,Pearl Towers Kharghar,197,Under Construction
198,Solace Estate Airoli,198,Pre-Launch
199,Amber Square Nerul,199,Ready to Move In
200,Prism Walk Seawoods,200,Under Construction
