id,cp_name,operation_locality,projects_working_on
9001,NorthStar Realty 1,"[""Andheri West"", ""Dadar""]","[""Ambrosia Heights Andheri West"", ""Emerald Gardens Vikhroli"", ""Marina Arena Airoli""]"
9002,Metro Brokers 2,"[""Bandra East"", ""Ghatkopar"", ""Powai""]","[""Cedar Enclave Chembur"", ""Crescent One Juhu"", ""Palm County Andheri West"", ""Pearl Towers Vikhroli""]"
9003,Summit Homes 3,"[""Borivali"", ""Kandivali"", ""Thane West"", ""Borivali""]","[""Aurum Nest Kandivali"", ""Solace Estate Kurla"", ""Nova Gateway Chembur""]"
9004,Legacy Channel 4,"[""Chembur"", ""Lower Parel""]","[""Iris Plaza Powai"", ""Ambrosia Heights Panvel"", ""Emerald Gardens Kandivali"", ""Marina Arena Kurla""]"
9005,Prime Estates 5,"[""Dadar"", ""Mulund"", ""Andheri West""]","[""Zenith Grove Worli"", ""Cedar Enclave Nerul"", ""Crescent One Powai""]"
9006,Apex Partners 6,"[""Ghatkopar"", ""Powai"", ""Bandra East"", ""Ghatkopar""]","[""Maple Vista Malad"", ""Aurum Nest Bandra East"", ""Solace Estate Worli"", ""Nova Gateway Nerul""]"
9007,Nexus Realty 7,"[""Kandivali"", ""Thane West""]","[""Amber Square BKC"", ""Iris Plaza Dadar"", ""Ambrosia Heights Malad""]"
9008,Pinnacle Brokers 8,"[""Lower Parel"", ""Vikhroli"", ""Chembur""]","[""Eden Crest Kharghar"", ""Zenith Grove Lower Parel"", ""Cedar Enclave BKC"", ""Crescent One Dadar""]"
9009,Urban Homes 9,"[""Mulund"", ""Andheri West"", ""Dadar"", ""Mulund""]","[""Orchid Residences Seawoods"", ""Maple Vista Thane West"", ""Aurum Nest Kharghar""]"
9010,Keystone Channel 10,"[""Powai"", ""Bandra East""]","[""Harbor Habitat Borivali"", ""Amber Square Mahalaxmi"", ""Iris Plaza Seawoods"", ""Ambrosia Heights Thane West""]"
9011,NorthStar Estates 11,"[""Thane West"", ""Borivali"", ""Kandivali""]","[""Saffron Park Ghatkopar"", ""Eden Crest Goregaon"", ""Zenith Grove Borivali""]"
9012,Metro Partners 12,"[""Vikhroli"", ""Chembur"", ""Lower Parel"", ""Vikhroli""]","[""Willow Bay Mulund"", ""Orchid Residences Wadala"", ""Maple Vista Ghatkopar"", ""Aurum Nest Goregaon""]"
9013,Summit Realty 13,"[""Andheri West"", ""Dadar""]","[""Pearl Towers Vikhroli"", ""Harbor Habitat Airoli"", ""Amber Square Mulund""]"
9014,Legacy Brokers 14,"[""Bandra East"", ""Ghatkopar"", ""Powai""]","[""Prism Walk Juhu"", ""Saffron Park Andheri West"", ""Eden Crest Vikhroli"", ""Zenith Grove Airoli""]"
9015,Prime Homes 15,"[""Borivali"", ""Kandivali"", ""Thane West"", ""Borivali""]","[""Marina Arena Kurla"", ""Willow Bay Chembur"", ""Orchid Residences Juhu""]"
9016,Apex Channel 16,"[""Chembur"", ""Lower Parel""]","[""Palm County Panvel"", ""Pearl Towers Kandivali"", ""Harbor Habitat Kurla"", ""Amber Square Chembur""]"
9017,Nexus Estates 17,"[""Dadar"", ""Mulund"", ""Andheri West""]","[""Nova Gateway Nerul"", ""Prism Walk Powai"", ""Saffron Park Panvel""]"
9018,Pinnacle Partners 18,"[""Ghatkopar"", ""Powai"", ""Bandra East"", ""Ghatkopar""]","[""Emerald Gardens Bandra East"", ""Marina Arena Worli"", ""Willow Bay Nerul"", ""Orchid Residences Powai""]"
9019,Urban Realty 19,"[""Kandivali"", ""Thane West""]","[""Crescent One Dadar"", ""Palm County Malad"", ""Pearl Towers Bandra East""]"
9020,Keystone Brokers 20,"[""Lower Parel"", ""Vikhroli"", ""Chembur""]","[""Solace Estate Lower Parel"", ""Nova Gateway BKC"", ""Prism Walk Dadar"", ""Saffron Park Malad""]"
9021,NorthStar Homes 21,"[""Mulund"", ""Andheri West"", ""Dadar"", ""Mulund""]","[""Ambrosia Heights Thane West"", ""Emerald Gardens Kharghar"", ""Marina Arena Lower Parel""]"
